partition,planner,profile_id,metric,n,mean,sd,median,min,max
holdout,dwa,tau_x_100,path_length,20,0.10383282016078617,0.025425357996815993,0.09648739664004247,0.08024138001756845,0.1542350907733699
holdout,dwa,tau_x_100,min_clearance,20,0.6316916023421515,0.23832035269315097,0.6164228521921995,0.3516101145199447,1.3801112520922225
holdout,dwa,tau_x_100,final_xy_error,20,4.77874998483234,0.02722925637156709,4.797483142941365,4.749535392668288,4.83973905106104
holdout,dwa,tau_x_300,success,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_x_300,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_x_300,timeout,20,1.0,0.0,1.0,1.0,1.0
holdout,dwa,tau_x_300,planner_failure,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_x_300,capped_time_to_termination,20,30.000000000001886,3.645007325606123e-15,30.00000000000189,30.00000000000189,30.00000000000189
holdout,dwa,tau_x_300,path_length,20,0.08711100826367392,0.07217634658754317,0.08880162185125437,0.05226722964506285,0.3837988799553691
holdout,dwa,tau_x_300,min_clearance,20,0.6398458517763033,0.23550927556527973,0.6149913481619806,0.3789200887172612,1.395372006279701
holdout,dwa,tau_x_300,final_xy_error,20,4.801204782940273,0.010824254353896655,4.7987983755832255,4.7987688891493585,4.847191900628959
holdout,dwa,tau_y_150,success,20,0.3,0.47016234598162715,0.0,0.0,1.0
holdout,dwa,tau_y_150,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_y_150,timeout,20,0.7,0.47016234598162715,1.0,0.0,1.0
holdout,dwa,tau_y_150,planner_failure,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_y_150,capped_time_to_termination,20,25.881000000001258,6.4841092396405315,30.00000000000189,14.899999999999727,30.00000000000189
holdout,dwa,tau_y_150,path_length,20,2.9968959545652476,1.6093234322052064,2.1831385243255728,0.9825796741759477,6.118325885694948
holdout,dwa,tau_y_150,min_clearance,20,0.21656691344421106,0.182239365489975,0.14709973287635286,0.024059408297117724,0.7282460796502412
holdout,dwa,tau_y_150,final_xy_error,20,2.4100347674283964,1.6570398370559472,2.9670591972500935,0.07547519010306328,4.441766501379751
holdout,dwa,tau_y_300,success,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_y_300,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_y_300,timeout,20,0.95,0.22360679774997902,1.0,0.0,1.0
holdout,dwa,tau_y_300,planner_failure,20,0.05,0.22360679774997894,0.0,0.0,1.0
holdout,dwa,tau_y_300,capped_time_to_termination,20,29.03000000000178,4.337971876350056,30.00000000000189,10.599999999999818,30.00000000000189
holdout,dwa,tau_y_300,path_length,20,1.149766186179094,1.1945214553010877,0.16423363719129794,0.1320295164372248,3.1252242828748256
holdout,dwa,tau_y_300,min_clearance,20,0.44583088758082745,0.35977095862264696,0.39745142051650073,0.021019199610409878,1.3974524357318103
holdout,dwa,tau_y_300,final_xy_error,20,3.978885781425035,1.0047417336554056,4.78611757824023,2.1796801002855815,4.799915338987383
holdout,dwa,tau_y_500,success,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_y_500,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_y_500,timeout,20,1.0,0.0,1.0,1.0,1.0
holdout,dwa,tau_y_500,planner_failure,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_y_500,capped_time_to_termination,20,30.000000000001886,3.645007325606123e-15,30.00000000000189,30.00000000000189,30.00000000000189
holdout,dwa,tau_y_500,path_length,20,1.0867736354198374,1.0924111209733083,0.2693825002830614,0.14694983650681062,2.9228906181124015
holdout,dwa,tau_y_500,min_clearance,20,0.46646390078838423,0.33864851829312287,0.4145784098473516,0.0601028802296676,1.3814459027030732
holdout,dwa,tau_y_500,final_xy_error,20,4.031634853906376,0.9240181313727934,4.7917797000278455,2.401482585304721,4.797485535329291
holdout,teb,delay_050,success,20,0.9,0.30779350562554625,1.0,0.0,1.0
