episode_id,partition,layout_id,planner,profile_id,success,reason,collision,planner_failures,final_time,path_length,min_clearance,final_xy_error
discovery__discovery_10__teb__tau_y_500,discovery,discovery_10,teb,tau_y_500,true,external_tolerance,false,0,22.77000000000076,6.526666693731273,0.1116276311349695,0.07952903498265507
discovery__discovery_16__dwa__tau_y_300,discovery,discovery_16,dwa,tau_y_300,true,external_tolerance,false,0,17.77999999999998,6.0460133410071615,0.15984802590139643,0.0784840825575634
holdout__holdout_11__teb__e0,holdout,holdout_11,teb,e0,true,external_tolerance,false,0,11.799999999999793,5.2642276808548685,0.16772211294684586,0.04087835176996578
holdout__holdout_13__dwa__e0,holdout,holdout_13,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.29686420154556653,0.6547618197316738,4.750728787406146
discovery__discovery_20__dwa__delay_050,discovery,discovery_20,dwa,delay_050,false,plugin returned no valid velocity command,false,1,1.6000000000000012,0.060793762754946544,0.6402903399032303,4.789388221964771
discovery__discovery_06__teb__tau_w_100,discovery,discovery_06,teb,tau_w_100,true,external_tolerance,false,0,16.95999999999985,6.558699086993707,0.1674167455346167,0.016275046765051843
discovery__discovery_11__dwa__tau_w_100,discovery,discovery_11,dwa,tau_w_100,false,logical_timeout,false,0,30.00000000000189,2.4165447401971005,0.23430568239502936,3.168065680450634
holdout__holdout_12__teb__tau_w_300,holdout,holdout_12,teb,tau_w_300,true,external_tolerance,false,0,12.959999999999768,5.093235226647072,0.14597673231772812,0.04421419454333021
holdout__holdout_10__dwa__tau_y_300,holdout,holdout_10,dwa,tau_y_300,false,logical_timeout,false,0,30.00000000000189,0.1320295164372248,0.7791242094480707,4.799915338987383
discovery__discovery_02__dwa__e0,discovery,discovery_02,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.29686420154556653,0.4329949468215036,4.750728787406146
discovery__discovery_01__teb__tau_x_100,discovery,discovery_01,teb,tau_x_100,true,external_tolerance,false,0,12.88999999999977,5.5342210468045865,0.08229699343465399,0.047453224219184936
holdout__holdout_09__teb__tau_y_150,holdout,holdout_09,teb,tau_y_150,true,external_tolerance,false,0,12.359999999999781,5.11174246398979,0.07200706677503192,0.07931569768265341
holdout__holdout_14__dwa__tau_w_300,holdout,holdout_14,dwa,tau_w_300,false,logical_timeout,false,0,30.00000000000189,3.2125412494956502,0.16120360219538354,3.2345036882859564
holdout__holdout_09__teb__tau_y_300,holdout,holdout_09,teb,tau_y_300,false,plugin returned no valid velocity command,false,1,6.0499999999999154,2.2631121953716526,0.003296044214179403,2.7952413477150224
discovery__discovery_07__dwa__tau_y_500,discovery,discovery_07,dwa,tau_y_500,false,logical_timeout,false,0,30.00000000000189,3.221469939073557,0.14867793386723183,2.189414143661713
holdout__holdout_14__dwa__delay_100,holdout,holdout_14,dwa,delay_100,false,logical_timeout,false,0,30.00000000000189,0.10753009517542378,0.692189754527417,4.799886964378005
holdout__holdout_09__teb__tau_x_100,holdout,holdout_09,teb,tau_x_100,true,external_tolerance,false,0,11.269999999999804,4.981252304712004,0.1323332691760634,0.07896276761292234
holdout__holdout_18__dwa__tau_x_100,holdout,holdout_18,dwa,tau_x_100,false,logical_timeout,false,0,30.00000000000189,0.12779152653451933,0.43015005518926014,4.751622632976504
holdout__holdout_01__dwa__delay_100,holdout,holdout_01,dwa,delay_100,false,logical_timeout,false,0,30.00000000000189,0.10753009517542378,0.5970311968398299,4.799886964378005
holdout__holdout_05__teb__e0,holdout,holdout_05,teb,e0,true,external_tolerance,false,0,11.239999999999805,5.140065204165502,0.1578111907592472,0.07578411610534366
discovery__discovery_05__dwa__tau_y_150,discovery,discovery_05,dwa,tau_y_150,false,logical_timeout,false,0,30.00000000000189,2.4736775832168156,0.16553260376233503,2.9473752500449213
discovery__discovery_08__teb__tau_w_300,discovery,discovery_08,teb,tau_w_300,true,external_tolerance,false,0,15.549999999999713,5.113311884968986,0.18151858207213337,0.07688294820698502
holdout__holdout_02__dwa__tau_y_300,holdout,holdout_02,dwa,tau_y_300,false,logical_timeout,false,0,30.00000000000189,0.1320295164372248,1.3974524357318103,4.799915338987383
discovery__discovery_17__dwa__e0,discovery,discovery_17,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.08043681154258775,1.47510436969883,4.800342967782957
