schedule_index,episode_id,partition,layout_id,planner,profile_id,lock_hash,valid,success,reason,raw_reason,collision,planner_failures,planner_calls,execution_steps,final_xy_error,final_yaw_error,final_time,capped_time_to_termination,path_length,min_clearance,compute_mean,compute_max,time_contract,feedback_contract,command_hold_contract,collision_truth_contract
457,holdout__holdout_08__teb__delay_050,holdout,holdout_08,teb,delay_050,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,269,1342,0.07900627486810703,0.09679445575732051,13.419999999999758,13.419999999999758,5.871731977638163,0.05780921926479893,0.009572002702602228,0.02875403,true,true,true,true
458,holdout__holdout_19__teb__delay_100,holdout,holdout_19,teb,delay_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,305,1524,0.04300675935288405,0.09705817187942979,15.23999999999972,15.23999999999972,5.912078891121984,0.17345673369505887,0.009429316616393443,0.026378084,true,true,true,true
459,holdout__holdout_17__dwa__delay_200,holdout,holdout_17,dwa,delay_200,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.798693959698342,0.10914475896004373,30.00000000000189,30.00000000000189,0.11073616392538553,0.36925852809483234,0.0008642139699999999,0.00680309,true,true,true,true
460,holdout__holdout_02__teb__tau_y_500,holdout,holdout_02,teb,tau_y_500,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,358,1788,0.0795100201654976,0.04593428548707591,17.879999999999995,17.879999999999995,5.89899775971595,0.0675666430793267,0.008397418064245805,0.025717665,true,true,true,true
461,holdout__holdout_11__teb__tau_x_100,holdout,holdout_11,teb,tau_x_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,245,1222,0.040566723789474506,0.09586517974899926,12.219999999999784,12.219999999999784,5.25768077379466,0.16600658787788544,0.009311840706122463,0.027341466,true,true,true,true
462,holdout__holdout_03__teb__e0,holdout,holdout_03,teb,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,239,1194,0.05889713558792859,0.09850697384794796,11.93999999999979,11.93999999999979,5.301244302998402,0.1571996517807476,0.008989698033472812,0.02309705,true,true,true,true
463,holdout__holdout_20__dwa__tau_w_300,holdout,holdout_20,dwa,tau_w_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,3.1964545961540325,0.7842000214898985,30.00000000000189,30.00000000000189,1.913980039487308,0.06657440720579723,0.0025866013649999994,0.017130788,true,true,true,true
464,holdout__holdout_15__dwa__e0,holdout,holdout_15,dwa,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.800342967782957,0.05052643037205333,30.00000000000189,30.00000000000189,0.08043681154258775,0.7143539515836996,0.0013476185333333329,0.004613232,true,true,true,true
465,holdout__holdout_07__teb__tau_y_500,holdout,holdout_07,teb,tau_y_500,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,181,905,2.863451205987202,0.33453156174636867,9.049999999999851,9.049999999999851,2.5403082224953,0.15445288188625828,0.016120972417582424,0.032254967,true,true,true,true
466,discovery__discovery_14__dwa__e0,discovery,discovery_14,dwa,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.750728787406146,0.002960665189466522,30.00000000000189,30.00000000000189,0.29686420154556653,0.9417938847237654,0.0015189273500000016,0.005328895,true,true,true,true
467,holdout__holdout_09__dwa__tau_x_300,holdout,holdout_09,dwa,tau_x_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.7987983755832255,0.06059223231982813,30.00000000000189,30.00000000000189,0.08880162185125437,0.8035557500980427,0.0010345006883333335,0.004174862,true,true,true,true
468,discovery__discovery_14__dwa__delay_050,discovery,discovery_14,dwa,delay_050,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,32,160,4.789388221964771,0.03296052641235291,1.6000000000000012,1.6000000000000012,0.060793762754946544,0.9945472000759373,0.0016110989090909091,0.003570847,true,true,true,true
469,holdout__holdout_04__dwa__delay_050,holdout,holdout_04,dwa,delay_050,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,3.363487542243192,0.9355263851908985,30.00000000000189,30.00000000000189,2.137299703281152,0.06261592834238702,0.0026044585249999992,0.019392908,true,true,true,true
470,discovery__discovery_04__dwa__e0,discovery,discovery_04,dwa,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.750728787406146,0.002960665189466522,30.00000000000189,30.00000000000189,0.29686420154556653,0.4883988882964072,0.0013174726066666651,0.004451668,true,true,true,true
471,discovery__discovery_03__teb__delay_100,discovery,discovery_03,teb,delay_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,329,1643,0.023297983697022764,0.09936797956927365,16.42999999999977,16.42999999999977,6.0615580532125,0.1219306647113285,0.01008715976291793,0.029870916,true,true,true,true
