timestamp,episode_id,attempt,status,detail
2026-08-20T13:03:18.212244+00:00,holdout__holdout_01__teb__tau_x_300,1,algorithm,external_tolerance
2026-08-20T13:03:23.980950+00:00,discovery__discovery_17__teb__tau_w_300,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:03:29.966677+00:00,holdout__holdout_08__dwa__tau_y_500,1,algorithm,duration
2026-08-20T13:03:35.550074+00:00,holdout__holdout_17__dwa__tau_x_300,1,algorithm,duration
2026-08-20T13:03:42.639341+00:00,holdout__holdout_20__dwa__tau_y_500,1,algorithm,duration
2026-08-20T13:03:49.456352+00:00,holdout__holdout_11__dwa__tau_y_150,1,algorithm,external_tolerance
2026-08-20T13:03:58.540920+00:00,discovery__discovery_19__teb__tau_y_300,1,algorithm,external_tolerance
2026-08-20T13:04:05.644878+00:00,discovery__discovery_14__teb__delay_100,1,algorithm,external_tolerance
2026-08-20T13:04:11.619043+00:00,discovery__discovery_05__dwa__tau_x_100,1,algorithm,duration
2026-08-20T13:04:19.600808+00:00,holdout__holdout_11__teb__tau_y_500,1,algorithm,external_tolerance
2026-08-20T13:04:25.842851+00:00,holdout__holdout_07__dwa__tau_w_100,1,algorithm,duration
2026-08-20T13:04:33.788830+00:00,holdout__holdout_08__teb__tau_x_300,1,algorithm,external_tolerance
2026-08-20T13:04:39.981938+00:00,discovery__discovery_13__dwa__e0,1,algorithm,duration
2026-08-20T13:04:46.021465+00:00,holdout__holdout_12__dwa__tau_y_150,1,algorithm,external_tolerance
2026-08-20T13:04:51.864695+00:00,discovery__discovery_11__dwa__e0,1,algorithm,duration
2026-08-20T13:04:59.099849+00:00,discovery__discovery_01__teb__tau_y_500,1,algorithm,external_tolerance
2026-08-20T13:05:06.780392+00:00,discovery__discovery_01__dwa__tau_w_300,1,algorithm,external_tolerance
2026-08-20T13:05:13.933914+00:00,holdout__holdout_15__teb__tau_y_150,1,algorithm,external_tolerance
2026-08-20T13:05:21.403069+00:00,discovery__discovery_14__dwa__tau_y_500,1,algorithm,duration
2026-08-20T13:05:27.376693+00:00,holdout__holdout_13__dwa__tau_x_100,1,algorithm,duration
2026-08-20T13:05:36.223511+00:00,discovery__discovery_05__teb__tau_w_300,1,algorithm,external_tolerance
2026-08-20T13:05:43.111772+00:00,holdout__holdout_10__teb__delay_050,1,algorithm,external_tolerance
2026-08-20T13:05:54.247928+00:00,holdout__holdout_04__teb__tau_w_300,1,algorithm,external_tolerance
2026-08-20T13:06:01.156692+00:00,discovery__discovery_19__dwa__tau_y_150,1,algorithm,external_tolerance
2026-08-20T13:06:08.675695+00:00,discovery__discovery_18__teb__tau_x_100,1,algorithm,external_tolerance
2026-08-20T13:06:15.954852+00:00,holdout__holdout_05__teb__tau_y_150,1,algorithm,external_tolerance
2026-08-20T13:06:22.863923+00:00,discovery__discovery_19__dwa__delay_100,1,algorithm,external_tolerance
2026-08-20T13:06:30.167583+00:00,discovery__discovery_01__teb__tau_y_300,1,algorithm,external_tolerance
2026-08-20T13:06:35.603487+00:00,discovery__discovery_20__teb__tau_y_150,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:06:43.111335+00:00,holdout__holdout_18__teb__tau_x_100,1,algorithm,external_tolerance
2026-08-20T13:06:50.834265+00:00,discovery__discovery_14__teb__delay_200,1,algorithm,external_tolerance
2026-08-20T13:06:58.059068+00:00,holdout__holdout_19__dwa__tau_y_150,1,algorithm,duration
2026-08-20T13:07:05.584633+00:00,discovery__discovery_03__teb__e0,1,algorithm,external_tolerance
2026-08-20T13:07:12.158293+00:00,holdout__holdout_03__dwa__tau_x_100,1,algorithm,duration
2026-08-20T13:07:17.733506+00:00,holdout__holdout_17__teb__delay_100,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:07:25.199392+00:00,holdout__holdout_11__dwa__delay_200,1,algorithm,duration
2026-08-20T13:07:33.621709+00:00,holdout__holdout_13__teb__delay_200,1,algorithm,external_tolerance
2026-08-20T13:07:41.792876+00:00,discovery__discovery_09__teb__delay_200,1,algorithm,external_tolerance
2026-08-20T13:07:51.319957+00:00,discovery__discovery_02__teb__tau_y_500,1,algorithm,external_tolerance
2026-08-20T13:07:58.957233+00:00,discovery__discovery_07__teb__e0,1,algorithm,external_tolerance
2026-08-20T13:08:05.941213+00:00,holdout__holdout_07__dwa__tau_y_500,1,algorithm,duration
2026-08-20T13:08:12.413053+00:00,holdout__holdout_17__dwa__tau_y_300,1,algorithm,duration
2026-08-20T13:08:18.936164+00:00,holdout__holdout_19__dwa__tau_y_300,1,algorithm,duration
2026-08-20T13:08:27.417295+00:00,holdout__holdout_14__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T13:08:34.718877+00:00,discovery__discovery_04__dwa__tau_w_300,1,algorithm,duration
2026-08-20T13:08:44.241528+00:00,discovery__discovery_06__teb__delay_050,1,algorithm,external_tolerance
2026-08-20T13:08:50.561272+00:00,discovery__discovery_09__dwa__delay_100,1,algorithm,duration
2026-08-20T13:08:57.126573+00:00,discovery__discovery_05__dwa__delay_200,1,algorithm,duration
2026-08-20T13:09:06.152364+00:00,discovery__discovery_19__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T13:09:14.061824+00:00,discovery__discovery_18__dwa__tau_y_150,1,algorithm,duration
2026-08-20T13:09:21.728222+00:00,holdout__holdout_11__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T13:09:30.240387+00:00,discovery__discovery_14__teb__tau_y_500,1,algorithm,external_tolerance
2026-08-20T13:09:38.560161+00:00,discovery__discovery_08__teb__delay_200,1,algorithm,external_tolerance
2026-08-20T13:09:45.537755+00:00,discovery__discovery_18__dwa__e0,1,algorithm,footprint_collision
2026-08-20T13:09:53.667638+00:00,holdout__holdout_03__teb__tau_y_500,1,algorithm,external_tolerance
2026-08-20T13:10:01.311975+00:00,discovery__discovery_03__dwa__tau_y_150,1,algorithm,duration
2026-08-20T13:10:09.093354+00:00,holdout__holdout_11__dwa__tau_w_300,1,algorithm,duration
2026-08-20T13:10:17.100077+00:00,discovery__discovery_07__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T13:10:26.155283+00:00,discovery__discovery_16__teb__delay_100,1,algorithm,external_tolerance
2026-08-20T13:10:33.504256+00:00,discovery__discovery_20__dwa__tau_y_300,1,algorithm,duration
2026-08-20T13:10:41.867236+00:00,discovery__discovery_11__teb__tau_x_100,1,algorithm,external_tolerance
2026-08-20T13:10:47.626564+00:00,holdout__holdout_17__teb__tau_x_300,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:10:56.287130+00:00,holdout__holdout_20__teb__tau_y_500,1,algorithm,external_tolerance
2026-08-20T13:11:05.499384+00:00,holdout__holdout_14__teb__delay_100,1,algorithm,external_tolerance
2026-08-20T13:11:13.395914+00:00,discovery__discovery_15__dwa__tau_y_300,1,algorithm,duration
2026-08-20T13:11:20.895041+00:00,discovery__discovery_02__dwa__tau_w_300,1,algorithm,duration
2026-08-20T13:11:28.212459+00:00,discovery__discovery_20__teb__tau_w_300,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:11:36.225451+00:00,holdout__holdout_01__teb__tau_y_500,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:11:42.427997+00:00,discovery__discovery_20__teb__tau_x_300,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:11:48.992742+00:00,holdout__holdout_07__teb__delay_100,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:11:57.581654+00:00,holdout__holdout_08__teb__delay_100,1,algorithm,external_tolerance
2026-08-20T13:12:04.272544+00:00,discovery__discovery_06__dwa__delay_200,1,algorithm,duration
2026-08-20T13:12:10.934236+00:00,discovery__discovery_09__dwa__e0,1,algorithm,duration
2026-08-20T13:12:18.404688+00:00,holdout__holdout_19__dwa__e0,1,algorithm,duration
2026-08-20T13:12:29.900120+00:00,discovery__discovery_19__teb__delay_200,1,algorithm,external_tolerance
2026-08-20T13:12:37.080713+00:00,discovery__discovery_15__dwa__tau_y_150,1,algorithm,duration
2026-08-20T13:12:43.744858+00:00,discovery__discovery_05__dwa__tau_x_300,1,algorithm,duration
2026-08-20T13:12:50.612357+00:00,discovery__discovery_11__dwa__delay_200,1,algorithm,duration
2026-08-20T13:12:59.725266+00:00,discovery__discovery_19__teb__tau_x_100,1,algorithm,external_tolerance
2026-08-20T13:13:08.222957+00:00,holdout__holdout_06__teb__tau_x_300,1,algorithm,external_tolerance
2026-08-20T13:13:15.748909+00:00,holdout__holdout_03__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T13:13:22.858619+00:00,discovery__discovery_10__dwa__tau_y_150,1,algorithm,duration
2026-08-20T13:13:30.979299+00:00,holdout__holdout_11__dwa__tau_y_500,1,algorithm,duration
2026-08-20T13:13:41.774753+00:00,discovery__discovery_18__teb__delay_200,1,algorithm,external_tolerance
2026-08-20T13:13:49.353655+00:00,holdout__holdout_06__dwa__tau_y_300,1,algorithm,duration
2026-08-20T13:13:58.254777+00:00,holdout__holdout_10__teb__tau_y_500,1,algorithm,external_tolerance
2026-08-20T13:14:05.201766+00:00,holdout__holdout_07__teb__delay_050,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:14:13.107605+00:00,holdout__holdout_15__teb__tau_y_500,1,algorithm,external_tolerance
2026-08-20T13:14:20.760915+00:00,holdout__holdout_16__teb__tau_x_300,1,algorithm,external_tolerance
2026-08-20T13:14:27.999509+00:00,holdout__holdout_16__dwa__tau_x_300,1,algorithm,duration
2026-08-20T13:14:34.876320+00:00,discovery__discovery_06__dwa__delay_050,1,algorithm,duration
2026-08-20T13:14:42.475679+00:00,holdout__holdout_13__teb__e0,1,algorithm,external_tolerance
2026-08-20T13:14:50.722262+00:00,holdout__holdout_06__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T13:14:58.987957+00:00,holdout__holdout_20__teb__delay_050,1,algorithm,external_tolerance
2026-08-20T13:15:07.012530+00:00,discovery__discovery_12__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T13:15:13.970476+00:00,holdout__holdout_12__dwa__e0,1,algorithm,duration
2026-08-20T13:15:20.757637+00:00,holdout__holdout_11__dwa__tau_x_300,1,algorithm,duration
2026-08-20T13:15:28.073565+00:00,discovery__discovery_07__dwa__tau_y_150,1,algorithm,duration
2026-08-20T13:15:35.935870+00:00,discovery__discovery_08__teb__delay_100,1,algorithm,external_tolerance
2026-08-20T13:15:43.935042+00:00,discovery__discovery_12__teb__delay_050,1,algorithm,external_tolerance
2026-08-20T13:15:54.025345+00:00,discovery__discovery_07__teb__tau_y_500,1,algorithm,external_tolerance
2026-08-20T13:16:01.551050+00:00,discovery__discovery_20__dwa__tau_x_100,1,algorithm,duration
2026-08-20T13:16:08.650935+00:00,discovery__discovery_09__dwa__tau_y_300,1,algorithm,duration
2026-08-20T13:16:15.452352+00:00,holdout__holdout_06__dwa__tau_x_100,1,algorithm,duration
2026-08-20T13:16:24.230584+00:00,holdout__holdout_20__teb__tau_w_300,1,algorithm,external_tolerance
2026-08-20T13:16:31.508039+00:00,discovery__discovery_16__dwa__tau_x_100,1,algorithm,external_tolerance
2026-08-20T13:16:39.314161+00:00,holdout__holdout_12__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T13:16:47.713364+00:00,holdout__holdout_01__teb__delay_100,1,algorithm,external_tolerance
2026-08-20T13:16:57.297821+00:00,holdout__holdout_04__teb__delay_100,1,algorithm,external_tolerance
2026-08-20T13:17:04.248257+00:00,discovery__discovery_07__dwa__e0,1,algorithm,duration
2026-08-20T13:17:12.054080+00:00,holdout__holdout_01__teb__e0,1,algorithm,external_tolerance
2026-08-20T13:17:20.173930+00:00,discovery__discovery_12__teb__e0,1,algorithm,external_tolerance
2026-08-20T13:17:28.960873+00:00,holdout__holdout_18__teb__tau_x_300,1,algorithm,external_tolerance
2026-08-20T13:17:37.883108+00:00,discovery__discovery_03__teb__tau_y_150,1,algorithm,external_tolerance
2026-08-20T13:17:44.711539+00:00,discovery__discovery_13__dwa__tau_x_300,1,algorithm,duration
2026-08-20T13:17:52.689815+00:00,holdout__holdout_02__dwa__tau_w_300,1,algorithm,duration
2026-08-20T13:18:01.403823+00:00,holdout__holdout_03__dwa__tau_w_100,1,algorithm,duration
2026-08-20T13:18:12.063760+00:00,discovery__discovery_10__teb__tau_y_500,1,algorithm,external_tolerance
2026-08-20T13:18:19.773948+00:00,discovery__discovery_16__dwa__tau_y_300,1,algorithm,external_tolerance
2026-08-20T13:18:27.915608+00:00,holdout__holdout_11__teb__e0,1,algorithm,external_tolerance
2026-08-20T13:18:35.226507+00:00,holdout__holdout_13__dwa__e0,1,algorithm,duration
