partition,planner,profile_id,metric,estimate,ci_low,ci_high,n_layouts
holdout,dwa,tau_w_100,min_clearance,-0.0055613243965098496,-0.009522321256513658,-0.001661605980004905,20
holdout,dwa,tau_w_100,final_xy_error,0.019839887252380395,-0.0025963068554176517,0.06069797603033932,20
holdout,dwa,tau_w_300,success,0.05,0.0,0.15,20
holdout,dwa,tau_w_300,collision,0.0,0.0,0.0,20
holdout,dwa,tau_w_300,timeout,-0.1,-0.25,0.0,20
holdout,dwa,tau_w_300,planner_failure,0.05,0.0,0.15,20
holdout,dwa,tau_w_300,capped_time_to_termination,-1.238000000000129,-3.5385000000003592,0.0,20
holdout,dwa,tau_w_300,path_length,1.6108519814284743,0.8820979221436943,2.302427487108403,20
holdout,dwa,tau_w_300,min_clearance,-0.3105244370027982,-0.4537147732978284,-0.16172100941084697,20
holdout,dwa,tau_w_300,final_xy_error,-1.2975781200116627,-1.9080827780445597,-0.690872854931302,20
holdout,dwa,tau_x_100,success,0.0,0.0,0.0,20
holdout,dwa,tau_x_100,collision,0.0,0.0,0.0,20
holdout,dwa,tau_x_100,timeout,0.0,0.0,0.0,20
holdout,dwa,tau_x_100,planner_failure,0.0,0.0,0.0,20
holdout,dwa,tau_x_100,capped_time_to_termination,0.0,0.0,0.0,20
holdout,dwa,tau_x_100,path_length,-0.3248408192988135,-0.6413387814309404,-0.07619019109373183,20
holdout,dwa,tau_x_100,min_clearance,0.04400017818497491,0.00265285763029684,0.10257224253029738,20
holdout,dwa,tau_x_100,final_xy_error,0.18135004829172882,-0.0009829896356170487,0.44267874386645245,20
holdout,dwa,tau_x_300,success,0.0,0.0,0.0,20
holdout,dwa,tau_x_300,collision,0.0,0.0,0.0,20
holdout,dwa,tau_x_300,timeout,0.0,0.0,0.0,20
holdout,dwa,tau_x_300,planner_failure,0.0,0.0,0.0,20
holdout,dwa,tau_x_300,capped_time_to_termination,0.0,0.0,0.0,20
holdout,dwa,tau_x_300,path_length,-0.34156263119592595,-0.6906935033077509,-0.09281990257500147,20
holdout,dwa,tau_x_300,min_clearance,0.05215442761912681,0.006778585721361859,0.11561870097566129,20
holdout,dwa,tau_x_300,final_xy_error,0.20380484639966104,0.02076852007459302,0.4532252413715721,20
holdout,dwa,tau_y_150,success,0.3,0.1,0.5,20
holdout,dwa,tau_y_150,collision,0.0,0.0,0.0,20
holdout,dwa,tau_y_150,timeout,-0.3,-0.5,-0.1,20
holdout,dwa,tau_y_150,planner_failure,0.0,0.0,0.0,20
holdout,dwa,tau_y_150,capped_time_to_termination,-4.119000000000628,-7.073187500001074,-1.423000000000218,20
holdout,dwa,tau_y_150,path_length,2.568222315105648,1.7622258454601099,3.38317988185646,20
holdout,dwa,tau_y_150,min_clearance,-0.3711245107129654,-0.4796995762570832,-0.26102726139146576,20
holdout,dwa,tau_y_150,final_xy_error,-2.1873651691122133,-2.9644044897155064,-1.4226214259467627,20
holdout,dwa,tau_y_300,success,0.0,0.0,0.0,20
holdout,dwa,tau_y_300,collision,0.0,0.0,0.0,20
holdout,dwa,tau_y_300,timeout,-0.05,-0.15,0.0,20
holdout,dwa,tau_y_300,planner_failure,0.05,0.0,0.15,20
holdout,dwa,tau_y_300,capped_time_to_termination,-0.9700000000001037,-2.910000000000311,0.0,20
holdout,dwa,tau_y_300,path_length,0.721092546719494,0.27105566256076025,1.229012042831429,20
holdout,dwa,tau_y_300,min_clearance,-0.14186053657634914,-0.23865937872546134,-0.058046601401560365,20
holdout,dwa,tau_y_300,final_xy_error,-0.6185141551155772,-1.0562871926042032,-0.23354044742801985,20
holdout,dwa,tau_y_500,success,0.0,0.0,0.0,20
holdout,dwa,tau_y_500,collision,0.0,0.0,0.0,20
holdout,dwa,tau_y_500,timeout,0.0,0.0,0.0,20
holdout,dwa,tau_y_500,planner_failure,0.0,0.0,0.0,20
holdout,dwa,tau_y_500,capped_time_to_termination,0.0,0.0,0.0,20
holdout,dwa,tau_y_500,path_length,0.658099995960238,0.2716057308141353,1.1014480470273689,20
holdout,dwa,tau_y_500,min_clearance,-0.12122752336879236,-0.2056871406011368,-0.046264153602161476,20
holdout,dwa,tau_y_500,final_xy_error,-0.5657650826342344,-0.9487752929968974,-0.22203496984432552,20
holdout,teb,delay_050,success,0.0,0.0,0.0,20
holdout,teb,delay_050,collision,0.0,0.0,0.0,20
holdout,teb,delay_050,timeout,0.0,0.0,0.0,20
holdout,teb,delay_050,planner_failure,0.0,0.0,0.0,20
holdout,teb,delay_050,capped_time_to_termination,0.7749999999999835,0.6004999999999872,0.9319999999999802,20
holdout,teb,delay_050,path_length,0.03297113384395513,0.00027021847213441486,0.06028882037131111,20
holdout,teb,delay_050,min_clearance,-0.002298444050815284,-0.02703822763581758,0.02411436268004018,20
holdout,teb,delay_050,final_xy_error,0.007565807505804506,-0.0028715646838759403,0.024905888331985596,20
holdout,teb,delay_100,success,0.0,0.0,0.0,20
holdout,teb,delay_100,collision,0.0,0.0,0.0,20
holdout,teb,delay_100,timeout,0.0,0.0,0.0,20
holdout,teb,delay_100,planner_failure,0.0,0.0,0.0,20
holdout,teb,delay_100,capped_time_to_termination,2.217499999999979,1.8154874999999748,2.6100000000000003,20
holdout,teb,delay_100,path_length,0.092722009032189,0.05646673222787344,0.12814805261109805,20
holdout,teb,delay_100,min_clearance,-0.011797093954131784,-0.026063984179063703,0.003930165475430785,20
holdout,teb,delay_100,final_xy_error,0.005774201703200019,-0.0034977909365878166,0.01735749341296778,20
holdout,teb,delay_200,success,-0.1,-0.25,0.0,20
holdout,teb,delay_200,collision,0.0,0.0,0.0,20
holdout,teb,delay_200,timeout,0.0,0.0,0.0,20
holdout,teb,delay_200,planner_failure,0.1,0.0,0.25,20
holdout,teb,delay_200,capped_time_to_termination,5.071500000000265,3.3708875000001304,6.539037500000326,20
holdout,teb,delay_200,path_length,-0.007209160859624053,-0.4298833385192246,0.29718592110596387,20
holdout,teb,delay_200,min_clearance,-0.031769817590397244,-0.05178089389907488,-0.009421238404902074,20
holdout,teb,delay_200,final_xy_error,0.24067476590260245,-0.0004267979544153734,0.6043881171966381,20
holdout,teb,tau_w_100,success,0.0,0.0,0.0,20
holdout,teb,tau_w_100,collision,0.0,0.0,0.0,20
holdout,teb,tau_w_100,timeout,0.0,0.0,0.0,20
holdout,teb,tau_w_100,planner_failure,0.0,0.0,0.0,20
holdout,teb,tau_w_100,capped_time_to_termination,0.9869999999999799,0.7339749999999844,1.2600124999999756,20
holdout,teb,tau_w_100,path_length,0.006246482208780935,-0.006532676810289428,0.017980912370825046,20
holdout,teb,tau_w_100,min_clearance,0.0020737469403105473,-0.013884396609825043,0.019524396182219073,20
holdout,teb,tau_w_100,final_xy_error,-0.008446839349408555,-0.014198366768635527,-0.0029872747982839236,20
holdout,teb,tau_w_300,success,0.0,0.0,0.0,20
holdout,teb,tau_w_300,collision,0.0,0.0,0.0,20
holdout,teb,tau_w_300,timeout,0.0,0.0,0.0,20
holdout,teb,tau_w_300,planner_failure,0.0,0.0,0.0,20
holdout,teb,tau_w_300,capped_time_to_termination,5.148000000000244,3.993975000000114,6.383550000000345,20
holdout,teb,tau_w_300,path_length,-0.014020864483009775,-0.03183940105234176,0.0026493498908384382,20
holdout,teb,tau_w_300,min_clearance,0.00305958661124028,-0.01195058869453094,0.01979835568045211,20
holdout,teb,tau_w_300,final_xy_error,-0.006906840098042033,-0.017606614142662333,0.006946624171853523,20
holdout,teb,tau_x_100,success,0.0,0.0,0.0,20
holdout,teb,tau_x_100,collision,0.0,0.0,0.0,20
holdout,teb,tau_x_100,timeout,0.0,0.0,0.0,20
holdout,teb,tau_x_100,planner_failure,0.0,0.0,0.0,20
holdout,teb,tau_x_100,capped_time_to_termination,0.33599999999999286,0.281487499999994,0.39201249999999144,20
holdout,teb,tau_x_100,path_length,0.006245055698790569,-0.012923013702913922,0.024676986636525407,20
holdout,teb,tau_x_100,min_clearance,0.0050319490799035525,-0.012358678282854694,0.020196965138806474,20
holdout,teb,tau_x_100,final_xy_error,0.0036861659467787313,-0.006221353401615547,0.017792514422450535,20
holdout,teb,tau_x_300,success,0.0,0.0,0.0,20
holdout,teb,tau_x_300,collision,0.0,0.0,0.0,20
holdout,teb,tau_x_300,timeout,0.0,0.0,0.0,20
holdout,teb,tau_x_300,planner_failure,0.0,0.0,0.0,20
holdout,teb,tau_x_300,capped_time_to_termination,1.4220000000000101,1.0934749999999769,1.8790000000000537,20
holdout,teb,tau_x_300,path_length,0.05956540739696468,0.009913466732253153,0.12777798585902275,20
holdout,teb,tau_x_300,min_clearance,0.00224305903493915,-0.009996396616429181,0.015461733532682953,20
holdout,teb,tau_x_300,final_xy_error,0.0022127261220292087,-0.009638842787852167,0.01675523001389724,20
holdout,teb,tau_y_150,success,0.0,0.0,0.0,20
holdout,teb,tau_y_150,collision,0.0,0.0,0.0,20
holdout,teb,tau_y_150,timeout,0.0,0.0,0.0,20
holdout,teb,tau_y_150,planner_failure,0.0,0.0,0.0,20
